ClmDiagnosisCode_9_ID,ClmDiagnosisCode_9
1,7993
2,2724
3,7850
4,4168
5,29640
6,1736
7,V4581
8,4280
9,V4976
10,40391
11,4139
12,25000
13,53081
14,3310
15,261
16,V427
17,7801
18,2449
19,53560
20,7904
21,71590
22,311
23,71846
24,412
25,2761
26,07070
27,5589
28,4423
29,25060
30,3051
31,41400
32,79029
33,4239
34,8248
35,5859
36,4019
37,20288
38,V4501
39,49390
40,27651
41,2762
42,2752
43,78703
44,41401
45,4271
46,40290
47,43310
48,4240
49,4439
50,V5861
51,78609
52,78552
53,4299
54,1749
55,78906
56,40291
57,V1581
58,7092
59,40390
60,V462
61,5119
62,30551
63,2777
64,7100
65,7515
66,42731
67,5559
68,56489
69,V4582
70,2720
71,27801
72,25200
73,70723
74,4599
75,496
76,V5866
77,2948
78,2749
79,2859
80,2875
81,4571
82,72271
83,60000
84,6822
85,3970
86,2722
87,78650
88,1570
89,V4589
90,2874
91,78959
92,V103
93,32701
94,E8859
95,04104
96,73300
97,70709
98,4241
99,99739
100,51881
101,44020
102,7503
103,30000
104,42821
105,7295
106,53012
107,78321
108,7962
109,2766
110,V4984
111,78079
112,0413
113,55329
114,4419
115,4260
116,33829
117,99883
118,78701
119,7242
120,3689
121,71509
122,42823
123,3481
124,7823
125,5363
126,7291
127,7804
128,4556
129,5854
130,5939
131,60886
132,33182
133,5990
134,36960
135,2662
136,5849
137,262
138,27800
139,51883
140,V5869
141,23879
142,7907
143,V160
144,4149
145,42789
146,79092
147,V571
148,43850
149,51919
150,5282
151,2536
152,7931
153,4264
154,78559
155,V1051
156,V5863
157,2768
158,42833
159,7245
160,4659
161,42732
162,29411
163,V4364
164,43820
165,72210
166,99591
167,3004
168,30391
169,2767
170,5679
171,E8781
172,84500
173,7863
174,5781
175,72291
176,0417
177,56400
178,72888
179,36201
180,56210
181,44021
182,V065
183,E9444
184,78791
185,4414
186,7843
187,7964
188,28521
189,V1259
190,78820
191,41071
192,V1046
193,8404
194,42769
195,V173
196,49121
197,486
198,V6759
199,2989
200,V1588
201,5951
202,2851
203,3569
204,V7281
205,2809
206,71636
207,49122
208,V4588
209,V5883
210,57420
211,5570
212,99592
213,V4511
214,4148
215,4254
216,3439
217,V1052
218,2689
219,78096
220,6827
221,042
222,490
223,5533
224,0539
225,3320
226,38611
227,4292
228,E8889
229,79902
230,73313
231,2769
232,V1301
233,0389
234,28951
235,V7644
236,V5419
237,2763
238,2820
239,28529
240,1629
241,7231
242,4371
243,E8219
244,78097
245,V072
246,1120
247,2631
248,36614
249,8082
250,V421
251,28860
252,4928
253,30520
254,V4572
255,V1083
256,7831
257,5856
258,45620
259,586
260,25040
261,8407
262,7963
263,5715
264,4619
265,V037
266,60001
267,70719
268,81201
269,7862
270,5163
271,5771
272,V762
273,5853
274,5762
275,7871
276,41402
277,2729
278,V433
279,591
280,9982
281,1970
282,3659
283,V442
284,86121
285,V1279
286,32726
287,81503
288,1539
289,185
290,2865
291,E8497
292,5780
293,78052
294,29410
295,1983
296,29572
297,0414
298,51882
299,43330
300,78499
301,4111
302,5789
303,2411
304,1579
305,79093
306,99664
307,V140
308,27540
309,2639
310,V0259
311,5180
312,V4365
313,V1251
314,71956
315,V1042
316,V1254
317,07030
318,4359
319,34830
320,37230
321,4589
322,70703
323,78605
324,E8796
325,99679
326,78899
327,32723
328,9953
329,72887
330,4370
331,78057
332,71690
333,4011
334,V1021
335,570
336,45340
337,48242
338,29620
339,73342
340,34292
341,78039
342,30390
343,43889
344,29633
345,3102
346,29689
347,53085
348,71945
349,9348
350,V431
351,5571
352,00845
353,2572
354,4293
355,V643
356,78194
357,36250
358,5852
359,5920
360,E8499
361,6212
362,73390
363,71844
364,25052
365,9120
366,4279
367,V5865
368,V0382
369,7851
370,5693
371,5880
372,7994
373,4541
374,3572
375,70705
376,49320
377,92400
378,34690
379,5172
380,25001
381,1550
382,04111
383,45910
384,4270
385,5070
386,40492
387,4940
388,V850
389,9971
390,V667
391,260
392,99676
393,5722
394,2149
395,V1271
396,5300
397,1985
398,E8786
399,V066
400,1981
401,78060
402,7210
403,81500
404,9070
405,99662
406,59970
407,70712
408,30591
409,71941
410,V145
411,V5881
412,42832
413,V5412
414,5569
415,42842
416,28804
417,2469
418,4379
419,5738
420,30001
421,42820
422,5845
423,43311
424,1540
425,7230
426,71106
427,53641
428,1991
429,42781
430,4738
431,58881
432,60784
433,3441
434,1890
435,53550
436,28981
437,07054
438,V8741
439,72989
440,70715
441,683
442,8208
443,57410
444,34982
445,V6284
446,1122
447,29680
448,V8522
449,72190
450,V153
451,5641
452,7936
453,V7651
454,78720
455,317
456,V854
457,40400
458,4400
459,51889
460,45341
461,03849
462,7820
463,2939
464,5185
465,V6751
466,7089
467,515
468,3181
469,605
470,4779
471,V1005
472,2910
473,V5873
474,4251
475,5960
476,7310
477,1101
478,V0481
479,5899
480,2800
481,3331
482,4142
483,V7612
484,44023
485,5968
486,27650
487,20411
488,7856
489,3899
490,78062
491,57510
492,7517
493,2113
494,5770
495,70720
496,30590
497,0088
498,V6549
499,5283
500,45119
501,07051
502,9592
503,E9390
504,41012
505,E9479
506,71516
507,78900
508,7821
509,2704
510,V8524
511,71699
512,5601
513,2920
514,79431
515,42831
516,4010
517,7949
518,72981
519,45829
520,E9278
521,1623
522,45981
523,5370
524,40310
525,49120
526,6259
527,30401
528,4263
529,73309
530,78901
531,49392
532,72982
533,92401
534,3558
535,78652
536,V4579
537,29281
538,46410
539,27542
540,V1079
541,1982
542,04112
543,E8780
544,E8888
545,V144
546,27541
547,78830
548,4660
549,V4975
550,53011
551,34831
552,4578
553,6989
554,V5864
555,20300
556,4401
557,7802
558,2190
559,E9342
560,78001
561,30560
562,E9331
563,56211
564,8080
565,7921
566,81000
567,7906
568,7813
569,8054
570,V163
571,71943
572,95911
573,2117
574,56942
575,7937
576,V8535
577,99709
578,30491
579,7197
580,7286
581,70714
582,4553
583,V1006
584,7140
585,43819
586,2189
587,7282
588,6271
589,3485
590,9160
591,V5867
592,9974
593,2760
594,6824
595,V1204
596,V1011
597,E9478
598,9249
599,436
600,9961
601,29020
602,V1641
603,3371
604,56039
605,1534
606,73027
607,V1582
608,V1269
609,99672
610,7213
611,V454
612,4387
613,4550
614,9895
615,72400
616,7873
617,V143
618,3501
619,7847
620,3384
621,71536
622,28800
623,4389
624,V6406
625,5718
626,V851
627,9597
628,V5849
629,71940
630,4739
631,34590
632,25070
633,85180
634,7822
635,2721
636,8021
637,71888
638,53782
639,319
640,7852
641,73681
642,V5413
643,25080
644,56989
645,3315
646,7854
647,78192
648,4821
649,E9308
650,1962
651,52800
652,6826
653,30420
654,V4586
655,78551
656,43491
657,7830
658,E8769
659,V860
660,5178
661,E8798
662,3562
663,E8809
664,E9289
665,38600
666,4829
667,7812
668,E9320
669,25002
670,5855
671,8470
672,E9600
673,7833
674,72691
675,E9179
676,3129
677,71596
678,7933
679,7905
680,1975
681,34839
682,3510
683,37730
684,29699
685,5531
686,2869
687,42830
688,7212
689,72673
690,920
691,9140
692,41042
693,42490
694,V551
695,88101
696,V4502
697,2521
698,5368
699,71597
700,72402
701,7840
702,4258
703,E9242
704,34290
705,1625
706,V168
707,8600
708,59654
709,4519
710,8449
711,2858
712,42822
713,7246
714,71842
715,1533
716,V7284
717,725
718,23875
719,73017
720,V1082
721,1739
722,78863
723,7808
724,8730
725,V1302
726,04119
727,78729
728,7837
729,V7283
730,47819
731,2764
732,99811
733,70722
734,E9293
735,82123
736,6268
737,E8844
738,53370
739,78702
740,4169
741,79381
742,1519
743,44381
744,55090
745,E8792
746,29040
747,V4972
748,58381
749,7241
750,2900
751,V1209
752,0093
753,3669
754,19889
755,29632
756,7289
757,44389
758,78841
759,E9413
760,44422
761,V138
762,7244
763,3839
764,72885
765,V5841
766,99674
767,1737
768,78865
769,8830
770,56984
771,25042
772,2841
773,72252
774,61804
775,3576
776,2819
777,5798
778,79439
779,4588
780,7202
781,V159
782,5183
783,99859
784,08881
785,57490
786,V726
787,7841
788,V580
789,V626
790,71236
791,40311
792,51884
793,4730
794,03843
795,79399
796,4549
797,72283
798,71535
799,43490
800,2713
801,41519
802,0340
803,71504
804,25541
805,V1089
806,V148
807,4373
808,72142
809,42843
810,28522
811,7211
812,24290
813,V4571
814,36330
815,E8842
816,95901
817,42613
818,99812
819,3559
820,7885
821,V142
822,59010
823,1976
824,9999
825,3670
826,E8783
827,43882
828,6110
829,V1249
830,V672
831,78722
832,V1508
833,04185
834,2867
835,87320
836,40401
837,7580
838,59969
839,V642
840,99681
841,8488
842,78659
843,V662
844,V426
845,70724
846,75312
847,7226
848,7891
849,6821
850,72889
851,9051
852,71107
853,E8788
854,V1749
855,3432
856,43331
857,30503
858,V4611
859,38870
860,V4577
861,53390
862,73319
863,73741
864,27802
865,3488
866,0380
867,7262
868,7359
869,6191
870,4871
871,V812
872,56949
873,6262
874,2930
875,53500
876,78050
877,69282
878,73007
879,5602
880,36253
881,5716
882,37120
883,2810
884,56723
885,6829
886,7824
887,2559
888,V1009
889,33818
890,33394
891,V5399
892,V1201
893,71598
894,30523
895,6279
896,73018
897,V08
898,V4573
899,3071
900,53649
901,4540
902,4380
903,05319
904,E8790
905,78909
906,85011
907,70583
908,4150
909,2111
910,41406
911,29592
912,59971
913,3319
914,9092
915,E9443
916,25050
917,78002
918,1963
919,V443
920,4259
921,45821
922,78322
923,56081
924,5759
925,6071
926,V7109
927,31401
928,3963
929,5224
930,99791
931,V1272
932,V0254
933,38830
934,56941
935,30002
936,V141
937,48283
938,30500
939,40201
940,E8490
941,4281
942,V441
943,5303
944,32381
945,33183
946,1977
947,56881
948,71511
949,75563
950,96561
951,2440
952,V1253
953,E8782
954,78904
955,V707
956,4919
957,71901
958,V5789
959,41090
960,E9009
961,23871
962,8052
963,99685
964,71500
965,9916
966,43811
967,60090
968,V171
969,7881
970,29623
971,2728
972,3342
973,43411
974,1830
975,V603
976,4471
977,1725
978,3540
979,9951
980,V725
981,5691
982,V2651
983,2699
984,2912
985,462
986,92411
987,4559
988,5272
989,5298
990,37430
991,57430
992,E8589
993,48282
994,7892
995,5790
996,90141
997,7020
998,7354
999,5121
1000,03819
1001,57450
1002,6869
1003,7910
1004,30924
1005,29630
1006,V053
1007,43881
1008,20285
1009,73329
1010,75319
1011,7234
1012,V5489
1013,7835
1014,68110
1015,V5416
1016,4262
1017,V420
1018,72690
1019,30747
1020,E8881
1021,7866
1022,73301
1023,40491
1024,40591
1025,28731
1026,78093
1027,V452
1028,7265
1029,30981
1030,27903
1031,2114
1032,V7231
1033,56981
1034,78723
1035,78009
1036,53540
1037,30550
1038,1748
1039,6181
1040,29530
1041,56089
1042,25062
1043,53190
1044,71104
1045,1832
1046,29590
1047,24900
1048,9696
1049,6146
1050,74687
1051,71947
1052,2468
1053,7172
1054,7459
1055,3594
1056,3525
1057,56409
1058,485
1059,57440
1060,7098
1061,55092
1062,29570
1063,V6709
1064,4474
1065,71595
1066,78061
1067,340
1068,30015
1069,72705
1070,42611
1071,1978
1072,5768
1073,3380
1074,E9503
1075,31400
1076,71942
1077,7144
1078,20410
1079,73314
1080,4920
1081,2630
1082,2825
1083,E8849
1084,36616
1085,53019
1086,53010
1087,70707
1088,2367
1089,3694
1090,5723
1091,70710
1092,72670
1093,3330
1094,99593
1095,1820
1096,6101
1097,30183
1098,3363
1099,78829
1100,42653
1101,72610
1102,V8281
1103,8460
1104,41080
1105,7530
1106,V4561
1107,5941
1108,99799
1109,E9323
1110,11284
1111,84509
1112,78839
1113,4580
1114,7135
1115,7243
1116,78099
1117,5758
1118,29650
1119,7104
1120,33523
1121,0940
1122,99677
1123,99645
1124,40300
1125,4538
1126,29381
1127,3003
1128,7919
1129,56789
1130,9130
1131,2866
1132,E9348
1133,99665
1134,25082
1135,53089
1136,43884
1137,5198
1138,04189
1139,04101
1140,3341
1141,79001
1142,1888
1143,V1087
1144,4820
1145,20280
1146,6861
1147,74761
1148,80705
1149,1969
1150,45342
1151,71836
1152,2355
1153,30470
1154,7810
1155,7048
1156,V8801
1157,36816
1158,E9500
1159,36721
1160,2753
1161,73020
1162,71951
1163,4412
1164,7220
1165,5650
1166,V1044
1167,1960
1168,9593
1169,1536
1170,3668
1171,1541
1172,74100
1173,78604
1174,2750
1175,7969
1176,75612
1177,7101
1178,78903
1179,E8120
1180,6028
1181,70713
1182,E9305
1183,81401
1184,7944
1185,7469
1186,71903
1187,78831
1188,V440
1189,5932
1190,6100
1191,99667
1192,59651
1193,V6409
1194,6111
1195,99673
1196,7273
1197,72293
1198,5110
1199,V5811
1200,25013
1201,3688
1202,9975
1203,6929
1204,35800
1205,74689
1206,87343
1207,2112
1208,81209
1209,2774
1210,5362
1211,1104
1212,2903
1213,70706
1214,30742
1215,3969
1216,2738
1217,E9270
1218,V422
1219,1889
1220,53220
1221,6258
1222,03842
1223,78905
1224,43321
1225,E8785
1226,71946
1227,47830
1228,5373
1229,2452
1230,7179
1231,20500
1232,6256
1233,8056
1234,1509
1235,34400
1236,3960
1237,4409
1238,4422
1239,1961
1240,71589
1241,56983
1242,30502
1243,72781
1244,45933
1245,56212
1246,30593
1247,0416
1248,E918
1249,05379
1250,2384
1251,8088
1252,3383
1253,5809
1254,70711
1255,E8496
1256,1105
1257,41405
1258,72709
1259,3543
1260,45989
1261,3561
1262,5262
1263,79099
1264,4272
1265,73730
1266,E9177
1267,29181
1268,514
1269,79009
1270,V679
1271,7336
1272,4242
1273,7318
1274,03811
1275,13100
1276,33520
1277,79021
1278,4275
1279,5989
1280,42761
1281,78449
1282,41092
1283,2878
1284,3502
1285,5779
1286,7224
1287,V5889
1288,8910
1289,25051
1290,42741
1291,V1040
1292,0549
1293,28850
1294,44024
1295,9100
1296,587
1297,7014
1298,59381
1299,48241
1300,78821
1301,4160
1302,71531
1303,51189
1304,5305
1305,8920
1306,53501
1307,V1652
1308,V1003
1309,7080
1310,28989
1311,72706
1312,30300
1313,2352
1314,8020
1315,3101
1316,1892
1317,19882
1318,470
1319,61172
1320,V1559
1321,99830
1322,4554
1323,8244
1324,7842
1325,37487
1326,430
1327,501
1328,5712
1329,82101
1330,71695
1331,V5401
1332,E8843
1333,70704
1334,78951
1335,28489
1336,V4962
1337,V1261
1338,78064
1339,71515
1340,66401
1341,7292
1342,3182
1343,E9588
1344,72703
1345,40210
1346,30471
1347,71801
1348,2830
1349,3452
1350,78469
1351,30781
1352,E9363
1353,V7389
1354,V5721
1355,5690
1356,E894
1357,57140
1358,35782
1359,25022
1360,73012
1361,4552
1362,2788
1363,5881
1364,20200
1365,3419
1366,1980
1367,5778
1368,7030
1369,48281
1370,3321
1371,5739
1372,78460
1373,E9352
1374,7876
1375,99529
1376,49321
1377,2252
1378,71691
1379,36800
1380,6149
1381,78199
1382,V453
1383,1369
1384,45621
1385,E915
1386,7099
1387,81100
1388,04184
1389,2399
1390,4720
1391,6238
