ClmDiagnosisCode_2_ID,ClmDiagnosisCode_2
1,V4569
2,4019
3,40210
4,70219
5,V5869
6,2859
7,V5861
8,496
9,25000
10,53085
11,2724
12,4730
13,6256
14,3453
15,2113
16,5789
17,73300
18,23875
19,7197
20,V029
21,V4981
22,40390
23,3591
24,4168
25,V1254
26,5932
27,2720
28,7856
29,8738
30,7820
31,2971
32,25080
33,56949
34,5282
35,V103
36,42731
37,V4577
38,V148
39,4011
40,73390
41,71531
42,920
43,2169
44,2766
45,72673
46,4779
47,2740
48,27800
49,28521
50,57420
51,40290
52,2449
53,3315
54,185
55,2810
56,4359
57,V0481
58,29040
59,7812
60,36610
61,7823
62,311
63,79029
64,78841
65,V7644
66,5990
67,41519
68,53081
69,79439
70,20190
71,28730
72,7210
73,6259
74,V1005
75,71500
76,2723
77,72252
78,3004
79,V854
80,E8889
81,1869
82,6274
83,7245
84,30000
85,7840
86,4148
87,78703
88,V146
89,E9352
90,1733
91,78321
92,7892
93,3320
94,V4589
95,V4975
96,2722
97,V7612
98,36250
99,71509
100,2689
101,2819
102,7038
103,7262
104,V5883
105,2704
106,2189
107,72981
108,7291
109,33829
110,V140
111,4254
112,E8782
113,V7281
114,25041
115,7242
116,8088
117,7213
118,V433
119,78843
120,4240
121,5641
122,78079
123,73342
124,71941
125,5859
126,71590
127,V5489
128,1104
129,72619
130,V5789
131,E8490
132,V5867
133,2851
134,58881
135,03849
136,7802
137,78821
138,4241
139,V4502
140,5533
141,59970
142,V1582
143,V762
144,V7285
145,7862
146,V1046
147,4139
148,53500
149,25012
150,V072
151,2809
152,41401
153,V7389
154,3481
155,71516
156,2989
157,7813
158,1966
159,2801
160,78702
161,3572
162,7962
163,42832
164,3804
165,4479
166,V8281
167,30483
168,37200
169,4778
170,2865
171,E9060
172,436
173,7948
174,5733
175,2768
176,78469
177,E9289
178,41400
179,78830
180,V4984
181,2948
182,71946
183,412
184,58381
185,78900
186,V4582
187,4589
188,25002
189,V726
190,30723
191,5849
192,70719
193,4280
194,71535
195,27909
196,56210
197,72402
198,42781
199,24290
200,7904
201,72887
202,7830
203,3659
204,7248
205,49390
206,7910
207,3669
208,V171
209,V4960
210,25060
211,75310
212,7271
213,1729
214,4439
215,7295
216,2111
217,5739
218,3510
219,33399
220,2538
221,7226
222,07054
223,V5865
224,586
225,4539
