ClmDiagnosisCode_5_ID,ClmDiagnosisCode_5
1,2875
2,V5861
3,V5863
4,25000
5,49120
6,V762
7,58381
8,E9270
9,79389
10,42732
11,2849
12,4280
13,4169
14,2449
15,78057
16,7291
17,78079
18,4240
19,25060
20,V4581
21,V5869
22,42731
23,78703
24,3659
25,73300
26,4299
27,4019
28,5990
29,2720
30,2724
31,78791
32,53390
33,V1582
34,71941
35,3441
36,72251
37,412
38,515
39,3541
40,5856
41,78821
42,71590
43,7213
44,28521
45,51889
46,71690
47,71531
48,71946
49,72887
50,73390
51,5859
52,2769
53,2767
54,4139
55,5579
56,E9320
57,3310
58,78321
59,5849
60,70722
61,78909
62,58881
63,V140
64,2809
65,5921
66,29040
67,2948
68,4589
69,3051
70,7242
71,71698
72,V5866
73,V433
74,70710
75,6259
76,41071
77,2865
78,53081
79,42789
80,99662
81,0088
82,V771
83,79092
84,42781
85,4241
86,41401
87,8404
88,7840
89,30390
90,3550
91,E8781
92,71945
93,496
94,7245
95,4289
96,V420
97,72610
98,80709
99,3510
100,0413
101,33819
102,4011
103,5533
104,2859
105,1726
106,56210
107,1120
108,V653
109,V422
110,78099
111,7904
112,V4511
113,8439
114,V1261
115,60000
116,V1271
117,40390
118,30000
119,23871
120,34291
121,486
122,62210
123,V4501
124,78841
125,E9289
126,70713
127,25200
128,V4582
129,78720
130,34290
131,3320
132,41400
133,33829
134,49320
135,04119
136,3331
137,5521
138,28529
139,2722
140,311
141,57420
142,4270
143,53550
144,37157
145,V148
146,4553
147,43330
148,78009
149,V1251
150,4439
151,2410
152,1987
153,70715
154,6279
155,99811
156,56400
157,7812
158,7260
159,2395
160,V1089
161,92231
162,2766
163,45340
164,6940
165,29410
166,95901
167,40391
168,7850
169,27801
170,53560
171,490
172,25001
173,E8497
174,3089
175,7823
176,E8859
177,V5878
178,2967
179,V7389
180,27542
181,2469
182,2762
183,30523
184,5789
185,570
186,71509
187,7856
188,V0481
189,20280
190,5718
191,E8583
192,72885
193,2761
194,72210
195,1983
196,78831
197,4292
198,7802
199,V1254
200,27783
201,7265
202,1551
203,E8788
204,2521
205,5163
206,7295
207,32723
208,5070
209,V0179
210,45910
211,V8381
212,70703
213,42823
214,V5883
215,79431
216,7140
217,2989
218,30001
219,40291
220,99666
221,30183
222,1985
223,28803
224,29041
225,3572
226,71956
227,4254
228,7231
229,71536
230,4239
231,72981
232,4419
233,58889
234,5939
235,72989
236,99859
237,V446
238,V4589
239,1101
240,E9208
241,36615
242,78900
243,7851
244,57410
245,30560
246,V160
247,4111
248,V643
249,78930
250,185
251,5854
252,V110
253,7813
254,V7644
255,V6759
256,78039
257,5589
258,4293
259,9221
260,6101
261,51881
262,73730
263,79029
264,4275
265,70719
266,6104
267,29411
268,V1083
269,7020
270,34590
271,4408
272,E9179
273,7906
274,78842
275,V1046
276,6961
277,78094
278,4548
